,06191500,06192500,06200000
sw_rad_mean,0.709,0.701,0.724
sw_rad_mean_lag1w,0.7,0.685,0.638
sw_rad_mean_lag2w,0.726,0.729,0.687
sw_rad_mean_lag3w,0.693,0.671,0.655
sw_rad_mean_lag4w,0.709,0.692,0.631
sw_rad_mean_lag5w,0.718,0.696,0.633
sw_rad_mean_lag6w,0.721,0.712,0.711
sw_rad_mean_lag7w,0.689,0.683,0.654
sw_rad_mean_lag8w,0.738,0.72,0.589
sw_rad_mean_lag9w,0.711,0.7,0.626
sw_rad_mean_lag10w,0.718,0.694,0.623
sw_rad_mean_lag11w,0.691,0.67,0.686
sw_rad_mean_lag12w,0.61,0.604,0.59
sw_rad_mean_lag13w,0.627,0.614,0.641
sw_rad_mean_lag14w,0.727,0.697,0.682
sw_rad_mean_lag15w,0.647,0.645,0.646
sw_rad_stdDev,0.709,0.701,0.724
sw_rad_stdDev_lag1w,0.705,0.707,0.707
sw_rad_stdDev_lag2w,0.697,0.697,0.7
sw_rad_stdDev_lag3w,0.674,0.657,0.645
sw_rad_stdDev_lag4w,0.67,0.645,0.63
sw_rad_stdDev_lag5w,0.671,0.659,0.643
sw_rad_stdDev_lag6w,0.711,0.696,0.697
sw_rad_stdDev_lag7w,0.685,0.68,0.645
sw_rad_stdDev_lag8w,0.678,0.66,0.596
sw_rad_stdDev_lag9w,0.66,0.648,0.591
sw_rad_stdDev_lag10w,0.685,0.676,0.579
sw_rad_stdDev_lag11w,0.68,0.681,0.664
sw_rad_stdDev_lag12w,0.638,0.638,0.63
sw_rad_stdDev_lag13w,0.657,0.648,0.672
sw_rad_stdDev_lag14w,0.704,0.69,0.686
sw_rad_stdDev_lag15w,0.668,0.671,0.66
tmax_max,0.709,0.701,0.724
tmax_max_lag1w,0.708,0.714,0.72
tmax_max_lag2w,0.703,0.699,0.712
tmax_max_lag3w,0.68,0.668,0.63
tmax_max_lag4w,0.692,0.679,0.669
tmax_max_lag5w,0.73,0.711,0.685
tmax_max_lag6w,0.754,0.746,0.748
tmax_max_lag7w,0.749,0.723,0.698
tmax_max_lag8w,0.716,0.715,0.588
tmax_max_lag9w,0.703,0.691,0.692
tmax_max_lag10w,0.735,0.731,0.713
tmax_max_lag11w,0.718,0.703,0.729
tmax_max_lag12w,0.694,0.68,0.667
tmax_max_lag13w,0.66,0.639,0.688
tmax_max_lag14w,0.725,0.708,0.687
tmax_max_lag15w,0.705,0.711,0.693
tmax_mean,0.709,0.701,0.724
tmax_mean_lag1w,0.712,0.704,0.716
tmax_mean_lag2w,0.707,0.711,0.724
tmax_mean_lag3w,0.715,0.703,0.659
tmax_mean_lag4w,0.716,0.704,0.633
tmax_mean_lag5w,0.737,0.725,0.643
tmax_mean_lag6w,0.751,0.747,0.732
tmax_mean_lag7w,0.747,0.741,0.709
tmax_mean_lag8w,0.73,0.691,0.608
tmax_mean_lag9w,0.709,0.687,0.714
tmax_mean_lag10w,0.732,0.716,0.704
tmax_mean_lag11w,0.718,0.7,0.708
tmax_mean_lag12w,0.683,0.664,0.668
tmax_mean_lag13w,0.669,0.661,0.692
tmax_mean_lag14w,0.731,0.72,0.7
tmax_mean_lag15w,0.692,0.683,0.671
tmax_min,0.709,0.701,0.724
tmax_min_lag1w,0.708,0.702,0.72
tmax_min_lag2w,0.707,0.708,0.735
tmax_min_lag3w,0.69,0.675,0.646
tmax_min_lag4w,0.707,0.685,0.622
tmax_min_lag5w,0.754,0.739,0.701
tmax_min_lag6w,0.744,0.734,0.729
tmax_min_lag7w,0.729,0.731,0.708
tmax_min_lag8w,0.724,0.713,0.652
tmax_min_lag9w,0.704,0.694,0.67
tmax_min_lag10w,0.747,0.728,0.685
tmax_min_lag11w,0.705,0.678,0.684
tmax_min_lag12w,0.679,0.656,0.655
tmax_min_lag13w,0.672,0.667,0.692
tmax_min_lag14w,0.727,0.708,0.694
tmax_min_lag15w,0.664,0.661,0.656
tmax_stdDev,0.709,0.701,0.724
tmax_stdDev_lag1w,0.704,0.71,0.727
tmax_stdDev_lag2w,0.711,0.704,0.722
tmax_stdDev_lag3w,0.679,0.66,0.648
tmax_stdDev_lag4w,0.693,0.678,0.652
tmax_stdDev_lag5w,0.698,0.685,0.678
tmax_stdDev_lag6w,0.7,0.69,0.713
tmax_stdDev_lag7w,0.695,0.687,0.676
tmax_stdDev_lag8w,0.688,0.657,0.597
tmax_stdDev_lag9w,0.674,0.66,0.603
tmax_stdDev_lag10w,0.694,0.676,0.581
tmax_stdDev_lag11w,0.682,0.678,0.674
tmax_stdDev_lag12w,0.627,0.636,0.653
tmax_stdDev_lag13w,0.667,0.651,0.698
tmax_stdDev_lag14w,0.704,0.691,0.687
tmax_stdDev_lag15w,0.657,0.65,0.653
tmin_max,0.709,0.701,0.724
tmin_max_lag1w,0.714,0.704,0.72
tmin_max_lag2w,0.719,0.722,0.733
tmin_max_lag3w,0.708,0.69,0.681
tmin_max_lag4w,0.727,0.714,0.649
tmin_max_lag5w,0.727,0.709,0.664
