,06186500,06187950,06188000,06190540,06191000,06187915,06191500,06192500,06200000,06195600,06214500,06204050,06205000,06207500,06209500,06211500,06211000,06208500,06217700,06216000
sw_rad_mean,0.704,0.518,0.721,-2.26,0.722,0.72,0.749,0.74,0.734,0.474,0.691,0.585,0.724,0.687,0.728,-1.526,-0.079,0.669,-777.869,-0.559
sw_rad_mean_lag1w,0.679,0.533,0.691,-2.317,0.703,0.682,0.727,0.729,0.663,0.388,0.674,0.575,0.668,0.679,0.707,-1.567,-0.05,0.661,-775.631,-0.569
sw_rad_mean_lag2w,0.698,0.551,0.676,-2.35,0.689,0.667,0.722,0.708,0.69,0.403,0.659,0.56,0.7,0.666,0.725,-1.446,-0.077,0.634,-817.839,-0.56
sw_rad_mean_lag3w,0.692,0.546,0.684,-2.374,0.696,0.715,0.752,0.73,0.707,0.411,0.681,0.555,0.706,0.68,0.699,-1.606,0.027,0.653,-795.339,-0.569
sw_rad_mean_lag4w,0.721,0.577,0.688,-2.289,0.696,0.722,0.764,0.75,0.739,0.468,0.69,0.557,0.712,0.675,0.699,-1.68,-0.015,0.673,-808.667,-0.576
sw_rad_mean_lag5w,0.717,0.557,0.731,-2.271,0.723,0.734,0.773,0.777,0.727,0.475,0.704,0.555,0.707,0.685,0.728,-1.648,-0.024,0.657,-789.041,-0.566
sw_rad_mean_lag6w,0.711,0.563,0.747,-2.253,0.743,0.73,0.77,0.749,0.744,0.468,0.694,0.574,0.721,0.689,0.722,-1.736,0.016,0.676,-821.228,-0.571
sw_rad_mean_lag7w,0.693,0.563,0.734,-2.329,0.723,0.708,0.754,0.756,0.727,0.508,0.687,0.56,0.705,0.669,0.722,-1.643,-0.045,0.665,-806.7,-0.568
sw_rad_mean_lag8w,0.691,0.56,0.73,-2.255,0.723,0.721,0.757,0.753,0.738,0.459,0.701,0.551,0.702,0.687,0.73,-1.553,-0.053,0.668,-793.76,-0.569
sw_rad_mean_lag9w,0.681,0.556,0.754,-2.335,0.726,0.751,0.774,0.773,0.748,0.422,0.704,0.536,0.706,0.709,0.696,-1.332,0.006,0.681,-820.798,-0.579
sw_rad_mean_lag10w,0.693,0.539,0.734,-2.285,0.707,0.694,0.767,0.757,0.743,0.419,0.689,0.554,0.679,0.671,0.706,-1.265,0.034,0.665,-809.012,-0.569
