,06186500,06187950,06188000,06190540,06191000,06187915,06191500,06192500,06200000,06195600,06214500,06204050,06205000,06207500,06209500,06211500,06211000,06208500,06217700,06216000
sw_rad_mean,0.758,0.671,0.702,0.146,0.732,0.716,0.772,0.766,0.712,0.543,0.699,0.637,0.738,0.652,0.775,-0.921,-0.038,0.635,-0.024,0.018
sw_rad_mean_lag1w,0.779,0.647,0.683,0.117,0.75,0.734,0.77,0.766,0.748,0.544,0.772,0.688,0.742,0.728,0.763,-0.939,0.006,0.738,0.028,-0.024
sw_rad_mean_lag2w,0.716,0.673,0.641,0.174,0.673,0.704,0.745,0.728,0.718,0.462,0.662,0.638,0.707,0.683,0.749,-1.013,0.037,0.634,-0.006,0.026
sw_rad_mean_lag3w,0.715,0.643,0.707,0.159,0.699,0.733,0.754,0.745,0.731,0.496,0.685,0.631,0.733,0.681,0.768,-0.431,0.03,0.674,-0.014,0.023
sw_rad_mean_lag4w,0.735,0.78,0.687,0.123,0.664,0.736,0.737,0.734,0.733,0.477,0.709,0.638,0.711,0.677,0.777,-0.768,0.003,0.668,-0.003,0.017
sw_rad_mean_lag5w,0.701,0.688,0.736,0.139,0.702,0.727,0.73,0.739,0.731,0.602,0.728,0.619,0.724,0.673,0.765,-0.745,0.079,0.663,-0.006,0.02
sw_rad_mean_lag6w,0.739,0.689,0.711,0.151,0.727,0.691,0.754,0.733,0.701,0.543,0.731,0.645,0.712,0.662,0.783,-0.963,0.12,0.671,-0.02,0.011
sw_rad_mean_lag7w,0.714,0.717,0.716,0.046,0.681,0.722,0.73,0.718,0.734,0.472,0.693,0.624,0.715,0.654,0.755,-1.077,0.114,0.651,-0.002,0.016
sw_rad_mean_lag8w,0.697,0.768,0.769,0.08,0.748,0.758,0.771,0.76,0.775,0.542,0.743,0.554,0.763,0.693,0.772,-0.796,0.036,0.695,0.002,0.03
sw_rad_mean_lag9w,0.724,0.705,0.738,0.144,0.686,0.764,0.758,0.761,0.757,0.372,0.738,0.612,0.766,0.707,0.788,-0.998,-0.127,0.699,0.005,0.026
sw_rad_mean_lag10w,0.742,0.626,0.679,0.119,0.677,0.649,0.717,0.697,0.674,0.464,0.672,0.672,0.684,0.582,0.753,-0.251,-0.163,0.545,-0.003,0.014
sw_rad_mean_lag11w,0.747,0.716,0.659,0.205,0.645,0.659,0.719,0.703,0.678,0.308,0.655,0.691,0.68,0.612,0.755,-0.252,0.222,0.607,-0.009,0.012
sw_rad_mean_lag12w,0.711,0.724,0.667,0.071,0.553,0.635,0.66,0.648,0.654,0.212,0.6,0.62,0.659,0.554,0.77,-0.022,0.135,0.537,0.042,0.008
sw_rad_mean_lag13w,0.728,0.684,0.72,0.151,0.675,0.694,0.726,0.724,0.695,0.362,0.687,0.606,0.705,0.631,0.767,0.075,0.204,0.621,0.039,0.013
sw_rad_mean_lag14w,0.726,0.699,0.633,0.166,0.642,0.686,0.672,0.681,0.671,0.395,0.686,0.657,0.688,0.655,0.754,0.055,0.249,0.651,0.005,0.016
sw_rad_mean_lag15w,0.786,0.546,0.645,0.079,0.676,0.699,0.717,0.698,0.706,0.523,0.7,0.686,0.712,0.664,0.78,0.037,-0.399,0.693,0.031,0.008
sw_rad_stdDev,0.758,0.671,0.702,0.146,0.732,0.716,0.772,0.766,0.712,0.543,0.699,0.637,0.738,0.652,0.775,-0.921,-0.038,0.635,-0.024,0.018
sw_rad_stdDev_lag1w,0.748,0.679,0.7,0.125,0.743,0.689,0.777,0.753,0.675,0.566,0.684,0.697,0.695,0.654,0.726,-1.107,-0.076,0.641,-0.008,0.019
sw_rad_stdDev_lag2w,0.68,0.707,0.661,0.147,0.656,0.661,0.712,0.685,0.66,0.571,0.627,0.659,0.685,0.61,0.723,-1.179,-0.233,0.595,0.023,0.015
sw_rad_stdDev_lag3w,0.721,0.682,0.697,0.099,0.705,0.699,0.744,0.727,0.71,0.511,0.667,0.685,0.722,0.643,0.743,-1.168,-0.221,0.636,-0.125,0.018
sw_rad_stdDev_lag4w,0.735,0.71,0.697,0.116,0.651,0.683,0.715,0.712,0.684,0.578,0.662,0.66,0.679,0.612,0.742,-1.203,-0.219,0.603,0.002,0.019
sw_rad_stdDev_lag5w,0.676,0.686,0.659,0.121,0.661,0.669,0.713,0.707,0.655,0.586,0.635,0.642,0.665,0.608,0.712,-1.196,-0.207,0.606,-0.208,0.025
sw_rad_stdDev_lag6w,0.726,0.669,0.704,0.117,0.727,0.666,0.764,0.749,0.657,0.421,0.668,0.674,0.687,0.641,0.737,-1.122,-0.176,0.624,0.017,0.025
sw_rad_stdDev_lag7w,0.737,0.674,0.676,0.092,0.674,0.638,0.716,0.7,0.673,0.391,0.675,0.627,0.68,0.609,0.731,-1.135,-0.227,0.595,-0.055,0.026
sw_rad_stdDev_lag8w,0.743,0.675,0.698,0.078,0.726,0.725,0.754,0.755,0.719,0.598,0.726,0.613,0.738,0.637,0.757,-1.187,-0.224,0.637,-0.013,-0.006
sw_rad_stdDev_lag9w,0.719,0.683,0.697,0.148,0.678,0.736,0.732,0.725,0.757,0.442,0.727,0.607,0.778,0.682,0.788,-0.63,-0.045,0.683,-0.008,0.029
sw_rad_stdDev_lag10w,0.702,0.677,0.635,0.074,0.641,0.594,0.701,0.682,0.612,0.426,0.571,0.671,0.621,0.539,0.705,-0.737,-0.063,0.515,-0.336,0.03
sw_rad_stdDev_lag11w,0.694,0.673,0.599,0.155,0.582,0.587,0.667,0.639,0.587,0.404,0.55,0.681,0.619,0.542,0.688,-0.818,0.296,0.515,-0.054,0.031
sw_rad_stdDev_lag12w,0.734,0.669,0.632,0.097,0.555,0.626,0.67,0.64,0.611,0.373,0.587,0.647,0.669,0.559,0.765,-0.03,0.311,0.543,0.034,0.027
sw_rad_stdDev_lag13w,0.738,0.695,0.689,0.117,0.689,0.713,0.738,0.743,0.717,0.469,0.698,0.633,0.712,0.656,0.744,0.086,0.18,0.658,0.031,0.022
sw_rad_stdDev_lag14w,0.741,0.685,0.616,0.116,0.682,0.716,0.743,0.713,0.673,0.537,0.686,0.649,0.736,0.639,0.745,0.056,0.227,0.617,0.029,0.026
sw_rad_stdDev_lag15w,0.795,0.655,0.718,0.069,0.739,0.751,0.796,0.779,0.747,0.501,0.755,0.683,0.75,0.7,0.792,0.043,-0.864,0.714,0.077,0.02
tmax_max,0.758,0.671,0.702,0.146,0.732,0.716,0.772,0.766,0.712,0.543,0.699,0.637,0.738,0.652,0.775,-0.921,-0.038,0.635,-0.024,0.018
tmax_max_lag1w,0.768,0.671,0.703,0.141,0.748,0.719,0.792,0.768,0.698,0.568,0.699,0.702,0.722,0.698,0.732,-0.856,-0.061,0.661,-0.029,0.016
tmax_max_lag2w,0.708,0.636,0.672,0.154,0.681,0.718,0.742,0.719,0.692,0.567,0.647,0.663,0.707,0.656,0.75,-0.907,-0.026,0.622,-0.013,-0.01
tmax_max_lag3w,0.727,0.708,0.732,0.129,0.735,0.708,0.758,0.726,0.668,0.491,0.665,0.686,0.706,0.669,0.742,-0.772,-0.119,0.651,0.0,-0.034
tmax_max_lag4w,0.714,0.56,0.686,0.162,0.666,0.678,0.717,0.72,0.646,0.631,0.673,0.656,0.684,0.624,0.768,-0.802,0.016,0.602,-0.016,0.075
tmax_max_lag5w,0.731,0.721,0.649,0.085,0.642,0.706,0.711,0.705,0.696,0.588,0.661,0.655,0.697,0.638,0.752,-0.658,0.081,0.614,0.008,0.019
tmax_max_lag6w,0.755,0.709,0.676,0.147,0.648,0.647,0.73,0.705,0.647,0.445,0.647,0.71,0.687,0.603,0.769,-0.778,0.004,0.577,0.037,0.03
tmax_max_lag7w,0.727,0.725,0.702,0.147,0.648,0.683,0.72,0.707,0.695,0.46,0.666,0.638,0.721,0.649,0.748,-0.853,0.004,0.609,0.066,0.023
tmax_max_lag8w,0.729,0.751,0.717,0.108,0.707,0.705,0.73,0.726,0.651,0.504,0.641,0.599,0.698,0.634,0.774,-0.592,0.193,0.557,0.066,0.058
tmax_max_lag9w,0.721,0.749,0.701,0.156,0.666,0.701,0.729,0.718,0.67,0.323,0.674,0.627,0.742,0.656,0.787,-0.877,0.077,0.616,-0.005,0.035
tmax_max_lag10w,0.723,0.644,0.702,0.115,0.647,0.641,0.727,0.713,0.657,0.501,0.617,0.687,0.63,0.597,0.742,-0.202,0.067,0.568,0.019,0.037
tmax_max_lag11w,0.738,0.71,0.653,0.197,0.633,0.646,0.705,0.679,0.634,0.454,0.576,0.69,0.645,0.54,0.713,-0.17,0.273,0.52,-0.012,0.029
tmax_max_lag12w,0.74,0.731,0.711,0.1,0.611,0.669,0.703,0.679,0.668,0.478,0.613,0.663,0.681,0.603,0.779,-0.01,0.18,0.57,0.028,0.046
tmax_max_lag13w,0.751,0.738,0.724,0.123,0.701,0.723,0.762,0.764,0.731,0.544,0.703,0.671,0.728,0.659,0.766,0.08,0.228,0.655,0.003,0.029
tmax_max_lag14w,0.749,0.754,0.676,0.112,0.693,0.748,0.763,0.741,0.706,0.51,0.703,0.624,0.753,0.658,0.758,0.045,0.303,0.642,0.041,0.025
tmax_max_lag15w,0.796,0.672,0.723,0.108,0.765,0.786,0.795,0.773,0.758,0.492,0.758,0.698,0.768,0.729,0.806,0.056,-0.363,0.715,0.006,0.019
tmax_mean,0.758,0.671,0.702,0.146,0.732,0.716,0.772,0.766,0.712,0.543,0.699,0.637,0.738,0.652,0.775,-0.921,-0.038,0.635,-0.024,0.018
tmax_mean_lag1w,0.764,0.698,0.708,0.13,0.752,0.716,0.787,0.775,0.704,0.558,0.692,0.693,0.728,0.697,0.744,-1.015,-0.082,0.657,-0.045,0.014
tmax_mean_lag2w,0.716,0.676,0.679,0.16,0.696,0.725,0.731,0.718,0.705,0.576,0.661,0.659,0.716,0.651,0.757,-0.87,-0.131,0.623,-0.003,0.011
tmax_mean_lag3w,0.729,0.693,0.74,0.125,0.741,0.699,0.782,0.766,0.675,0.488,0.669,0.683,0.703,0.679,0.754,-0.872,-0.097,0.652,-0.038,0.098
tmax_mean_lag4w,0.691,0.652,0.669,0.142,0.65,0.654,0.725,0.713,0.646,0.608,0.645,0.667,0.651,0.598,0.728,-0.885,-0.036,0.566,-0.002,-0.067
tmax_mean_lag5w,0.722,0.685,0.624,0.114,0.637,0.704,0.697,0.702,0.679,0.56,0.662,0.665,0.705,0.628,0.755,-1.032,-0.137,0.618,-0.004,0.011
tmax_mean_lag6w,0.746,0.687,0.72,0.201,0.691,0.707,0.744,0.727,0.692,0.467,0.693,0.687,0.733,0.641,0.774,-0.926,0.022,0.639,0.046,0.028
tmax_mean_lag7w,0.741,0.747,0.682,0.11,0.668,0.707,0.705,0.696,0.699,0.429,0.639,0.641,0.712,0.637,0.752,-0.877,0.153,0.598,0.062,0.037
tmax_mean_lag8w,0.729,0.755,0.703,0.082,0.697,0.737,0.775,0.765,0.72,0.47,0.7,0.587,0.733,0.67,0.767,-0.58,0.089,0.65,0.053,0.059
tmax_mean_lag9w,0.706,0.759,0.647,0.155,0.627,0.706,0.727,0.706,0.659,0.334,0.668,0.621,0.723,0.631,0.79,-0.856,0.081,0.584,-0.025,0.037
tmax_mean_lag10w,0.726,0.644,0.688,0.104,0.666,0.618,0.733,0.706,0.648,0.475,0.624,0.691,0.653,0.594,0.731,-0.111,0.03,0.581,-0.038,0.017
tmax_mean_lag11w,0.725,0.714,0.669,0.179,0.667,0.653,0.706,0.706,0.63,0.427,0.609,0.684,0.656,0.606,0.723,-0.242,0.267,0.568,0.012,0.019
tmax_mean_lag12w,0.735,0.717,0.723,0.094,0.627,0.662,0.698,0.682,0.664,0.473,0.606,0.664,0.683,0.607,0.77,0.005,0.236,0.573,0.029,0.013
tmax_mean_lag13w,0.746,0.741,0.74,0.124,0.698,0.712,0.756,0.748,0.714,0.555,0.689,0.672,0.722,0.66,0.758,0.07,0.199,0.644,0.053,0.024
tmax_mean_lag14w,0.756,0.719,0.673,0.128,0.706,0.749,0.758,0.748,0.707,0.522,0.7,0.625,0.742,0.657,0.753,0.059,0.263,0.645,0.061,0.029
tmax_mean_lag15w,0.783,0.674,0.697,0.103,0.739,0.751,0.772,0.743,0.75,0.484,0.745,0.676,0.76,0.713,0.79,0.047,-0.345,0.696,0.044,0.027
tmax_min,0.758,0.671,0.702,0.146,0.732,0.716,0.772,0.766,0.712,0.543,0.699,0.637,0.738,0.652,0.775,-0.921,-0.038,0.635,-0.024,0.018
tmax_min_lag1w,0.761,0.685,0.703,0.145,0.759,0.715,0.79,0.773,0.704,0.566,0.703,0.666,0.723,0.69,0.737,-0.872,0.048,0.668,-0.037,0.022
tmax_min_lag2w,0.71,0.672,0.676,0.147,0.685,0.717,0.725,0.717,0.716,0.587,0.664,0.649,0.713,0.667,0.751,-0.943,-0.049,0.642,-0.019,0.01
tmax_min_lag3w,0.738,0.658,0.735,0.114,0.71,0.757,0.78,0.764,0.725,0.502,0.694,0.688,0.717,0.69,0.771,-0.929,-0.071,0.667,-0.029,0.095
tmax_min_lag4w,0.704,0.68,0.666,0.134,0.62,0.697,0.692,0.697,0.671,0.614,0.653,0.658,0.693,0.587,0.739,-1.006,-0.084,0.571,-0.008,0.035
tmax_min_lag5w,0.718,0.71,0.661,0.107,0.665,0.721,0.733,0.722,0.719,0.567,0.688,0.656,0.722,0.668,0.751,-1.007,-0.015,0.652,-0.015,0.117
tmax_min_lag6w,0.75,0.688,0.73,0.19,0.68,0.741,0.778,0.755,0.713,0.523,0.715,0.682,0.742,0.656,0.779,-0.418,0.138,0.636,0.005,0.018
tmax_min_lag7w,0.745,0.735,0.681,0.115,0.665,0.706,0.708,0.71,0.72,0.469,0.683,0.642,0.73,0.662,0.754,-0.89,0.18,0.618,0.007,0.027
