GAUGE_NO,STATION_NM,STATE,DA_SQ_KM,LON_SITE,LAT_SITE,LON_NHD,LAT_NHD,NHD2GAGE_D,BFIYRS,BFI_AVE,BFI_STDEV,GOTBFI,DAY1,DAYN,NDAYS,NDAYSGT0,MIN_,P1,P5,P10,P20,P25,P30,P40,P50,P60,P70,P75,P80,P90,P95,P99,MAX_,AVE,STDEV,GOTQ,HUC,startDT
6006000,"Red Rock Creek above Lakes near Lakeview, MT",MT,101.527608,-111.6566303,44.61686306,-111.6567459,44.61703491,21.217,4,0.82,0.038,1,19970701,20040930,1598,1598,12,15,17,18,22,23,24,27,33,38,46,53,60,89,129,200.03,270,45.257,37.266,1,10020001,7/1/97
6012500,"Red Rock River below Lima Reservoir near Monida, MT",MT,1476.2943,-112.3713889,44.6560233,-112.3712235,44.65588379,20.319,68,0.777,0.111,1,19110101,20040930,24843,23752,0,0,0.992,8,17,21,23,30,56,142,246,277,321,455,561.8,745.12,2500,165.553,195.708,1,10020001,1/1/11
6016000,"Beaverhead River at Barretts, MT",MT,7088.80263,-112.7505792,45.11631,-112.7504959,45.11614227,19.775,90,0.865,0.053,1,19071001,20040930,33234,33234,64,98,135,172,226,250,271,308,349,402,473,530,607,848.5,1050,1590,3640,442.442,312.404,1,10020002,10/1/07
6017000,"Beaverhead River at Dillon, MT",MT,7498.02105,-112.655021,45.21825528,-112.6553726,45.21840668,32.329,11,0.803,0.037,1,19501000,20040930,4297,4297,18,54.98,86,104,141,165,192,247,306,374,417,444,475.4,591,700,1110,1700,333.899,212.672,1,10020002,1950-10-00
6018500,"Beaverhead River near Twin Bridges, MT",MT,9373.17381,-112.4527864,45.3835347,-112.4528351,45.38339615,15.868,68,0.824,0.063,1,19350820,20030930,24878,24878,7,24,59,97,172,210,243,317,385,446,501,535,580,719,864,1280,3130,404.715,263.2,1,10020002,8/20/35
6019500,"Ruby River above Reservoir near Alder, MT",MT,1393.41462,-112.1424864,45.19242228,-112.1428146,45.19232178,28.091,66,0.825,0.053,1,19380501,20040930,24260,24260,35,70,83,90,97,100,105,111,119,130,149,165,196,351,537,926,2940,179.47,169.194,1,10020003,5/1/38
6020600,"Ruby River below Reservoir near Alder, MT",MT,1543.63404,-112.1108195,45.24214576,-112.1112747,45.24191666,43.87,40,0.804,0.053,1,19621130,20030930,14915,14915,15,21,27,31,40,46,51.8,69,109,197,282,320,353,449,618.2,1040,2500,205.789,219.644,1,10020003,11/30/62
6026210,"Big Hole River near Glen, MT",MT,6876.42345,-112.5564033,45.44048028,-112.5560989,45.44012451,46.161,4,0.725,0.074,1,19970911,20040930,1518,1518,122,131.19,198,238.9,312.8,348.75,386,498,633,896.8,1230,1410,1640,2751,3930,6251.5,10000,1132.76,1257.827,1,10020004,9/11/97
6025500,"Big Hole River near Melrose, MT",MT,6412.81524,-112.7016903,45.5265933,-112.7017288,45.526577,3.513,81,0.726,0.066,1,19231001,20040930,29586,29586,49,140,214,255,309,330,354,406,471,580,814,1030,1400,2970,4560,7961.3,13800,1109.108,1569.025,1,10020004,10/1/23
6024450,"Big Hole River below Big Lake Creek at Wisdom, MT",MT,1489.24425,-113.4578372,45.61853417,-113.4569016,45.61804962,90.705,9,0.528,0.066,1,19880500,20040930,3534,3510,0,0.94,9.7,17,27,34,42,57,84,137,243.5,300,365,656,1010,2010,3830,246.844,395.227,1,10020004,1988-05-00
6025250,"Big Hole River at Maiden Rock near Divide, MT",MT,nan,-112.7353053,45.701315,-112.7359695,45.70127869,51.916,3,0.744,0.086,1,19971001,20020930,1175,1175,173,188,216,250.6,290,304,328.8,397,528,784.8,1120,1360,1628,2926,3972,5542.8,6850,1084.578,1210.157,1,10020004,10/1/97
6024540,"Big Hole River below Mudd Creek near Wisdom, MT",MT,3281.51733,-113.3133878,45.80742389,-113.3132706,45.80754089,15.875,4,0.635,0.039,1,19971001,20040930,1467,1467,38,46,64,82,110,125,145,184,278,481.6,641.6,778,927,1482,2172,3599.6,4810,591.299,726.237,1,10020004,10/1/97
6026500,"Jefferson River near Twin Bridges, MT",MT,19766.80368,-112.3300019,45.613815,-112.329422,45.61337662,66.481,28,0.801,0.05,1,19400800,20040930,10451,10451,165,264.52,455,650,850,944,1020,1150,1290,1460,1720,1880,2170,4078,6030,9690,14900,1891.256,1858.678,1,10020005,1940-08-00
6035000,"Willow Creek near Harrison, MT",MT,217.041162,-111.7410894,45.72298389,-111.7410202,45.72304535,8.698,56,0.668,0.083,1,19380501,20040731,20693,20693,0.59,2.2,3.87,5.9,11,15,18,25,30,35,42,47,54,87,139,259,591,41.845,48.351,1,10020005,5/1/38
6036650,"Jefferson River near Three Forks, MT",MT,24687.78468,-111.5966389,45.8977058,-111.5957184,45.89715958,93.769,26,0.787,0.055,1,19781001,20040930,9497,9497,44,145.98,334.9,593,853.6,950,1030,1240,1430,1660,1940,2130,2400,3740,5741,10500,16800,1950.618,1898.175,1,10020005,10/1/78
6033000,"Boulder River near Boulder, MT",MT,986.78619,-112.091665,46.21103889,-112.0916596,46.2110405,0.458,62,0.591,0.113,1,19290500,20040930,22740,22736,0,6.3,11,15,21,24,26,31,36,44,67,93.75,145,335,536,1030,2400,116.309,204.587,1,10020006,1929-05-00
6036905,"Firehole River near West Yellowstone, MT",WY,730.37718,-110.86299,44.62021,-110.8634186,44.62006378,37.643,13,0.937,0.021,1,19831001,20030930,4931,4931,201,213,224,233,245,249,252,262,279,294,311,322,337,418.8,513,739.36,1240,307.663,103.775,1,10020007,10/1/83
6037100,"Gibbon River at Madison Junction, YNP",WY,nan,-110.8610456,44.64048778,-110.8610611,44.64081573,36.544,2,0.906,0.022,1,20010323,20040930,923,923,75,79,81,84,87,88,90,93,96,102,116,128,141.2,190,233.8,441,584,121.407,63.432,1,10020007,3/23/01
6037500,"Madison River near West Yellowstone, MT",MT,1087.7958,-111.0682742,44.6568722,-111.067955,44.6571312,38.342,77,0.923,0.025,1,19130701,20030930,28187,28187,245,291,320,340,370,379,391,411,433,458,495,522,564,744.2,957,1410,2750,499.717,220.001,1,10020007,7/1/13
6036940,"Tantalus Creek at Norris Junction, YNP",WY,nan,-110.7129869,44.782435,-110.6881409,44.77870178,2006.367,0,0,0,0,20040700,20040930,92,92,3.2,0,3.365,3.4,3.5,3.6,3.69,3.7,3.8,3.9,4.1,4.275,4.34,5.31,5.77,0,9.7,4.082,0.924,1,10020007,2004-07-00
6038500,"Madison River below Hebgen Lake near Grayling, MT",MT,2343.94095,-111.338288,44.86659278,-111.338768,44.86643219,41.879,66,0.878,0.077,1,19381001,20040930,24107,24107,5,74.16,301.4,510,710,750,776,858,950,1050,1190,1260,1370,1730,1990,2560,4910,1045.768,507.965,1,10020007,10/1/38
6038800,"Madison River at Kirby Ranch near Cameron, MT",MT,2758.33935,-111.5802428,44.88936889,-111.5808868,44.88877869,83.042,18,0.898,0.074,1,19590901,20040930,6769,6769,139,368,617,740,840,898,930,1020,1150,1260,1390,1505,1630,2120,2690,3880,5030,1309.851,668.318,1,10020007,9/1/59
6040800,"Madison River above Powerplant near McAllister, MT",MT,5661.71814,-111.6338604,45.48659466,-111.6338577,45.48659515,0.216,2,0.5,0.031,1,20020401,20040930,914,914,73,80,86.75,92,100,104,108,122,191.5,221,251,298,349,686.5,1137.5,2374,3540,307.12,411.621,1,10020007,4/1/02
6041000,"Madison River below Ennis Lake near McAllister, MT",MT,5661.71814,-111.6341382,45.49020577,-111.6345062,45.490242,29.048,66,0.863,0.045,1,19381001,20040930,24107,24107,210,760,982.4,1100,1210,1270,1330,1460,1560,1660,1850,1970,2160,2690,3250,5060,9210,1762.599,804.97,1,10020007,10/1/38
6043500,"Gallatin River near Gallatin Gateway, MT",MT,2136.74175,-111.2705108,45.4974286,-111.2707062,45.4973793,16.224,74,0.784,0.075,1,18890801,20040930,27280,27280,153,214,244,267,300,317,335,378,430,501,622,744,977,2020,2970,4800,8970,807.747,952.686,1,10020008,1889-08-01
6048700,"East Gallatin River below Bridger Creek near Bozeman, MT",MT,nan,-111.0696708,45.72493028,-111.0686264,45.72544479,99.421,3,0.74,0.014,1,20011001,20040930,1096,1096,15,18,21,26,31,32,33,35,38,44,67.9,87,103,190.3,298,412.33,834,77.707,89.937,1,10020008,10/1/01
