SITE_NO,area_sqkm,missing_data,huc6,huc8,huc6_ts_max,huc6_ts_med,huc6_tts_max,huc6_tts_med,huc8_ts_max,huc8_ts_med,huc8_tts_max,huc8_tts_med
6006000,101.527608,0.437562438,100200,10020001,0.648,0.553,0.56,0.3215,0.511,0.353,0.504,0.3995
6012500,1476.2943,0.41958042,100200,10020001,0.483,-0.029,0.904,-0.5675,0.502,-0.011,0.683,-1.337
6016000,7088.80263,0.363636364,100200,10020002,0.694,0.664,0.645,0.52,0.703,0.653,0.694,0.581
6017000,7498.02105,0.410589411,100200,10020002,0.02,-0.033,0.13,-0.054,0.017,-0.033,0.11,0.016
6018500,9373.17381,0.244755245,100200,10020002,0.204,0.13,0.207,0.124,0.194,0.137,0.24,0.157
6019500,1393.41462,0.218781219,100200,10020003,0.707,0.591,0.651,0.505,0.68,0.545,0.668,0.4855
6020600,1543.63404,0.20979021,100200,10020003,0.695,0.588,0.775,0.669,0.72,0.575,0.777,0.648
6026210,6876.42345,0.372627373,100200,10020004,0.666,0.004,0.669,-50.417,0.648,0.003,0.619,-35.692
6025500,6412.81524,0.155844156,100200,10020004,0.706,0.571,0.729,0.56,0.678,0.482,0.682,0.569
6024450,1489.24425,0.41958042,100200,10020004,0.58,0.529,0.551,0.297,0.584,0.505,0.556,0.293
6025250,,0.522477522,100200,10020004,0.707,-0.038,0.812,-0.284,0.728,-0.039,0.766,-0.087
6024540,3281.51733,0.424575425,100200,10020004,0.679,-0.033,0.915,0.421,0.647,-0.034,0.891,0.45
6026500,19766.80368,0.165834166,100200,10020005,0.672,0.507,0.635,0.519,0.608,0.494,0.585,0.473
6035000,217.041162,0.577422577,100200,10020005,0.584,0.501,0.579,0.02,0.497,0.401,0.486,0.283
6036650,24687.78468,0.165834166,100200,10020005,0.649,0.4995,0.621,0.51,0.57,0.471,0.601,0.447
6033000,986.78619,0.168831169,100200,10020006,0.66,0.576,0.741,0.541,0.614,0.436,0.656,0.4865
6036905,730.37718,0.261738262,100200,10020007,0.57,0.45,0.576,0.445,0.552,0.448,0.655,0.423
6037100,,0.237762238,100200,10020007,0.628,0.509,0.619,0.522,0.626,0.496,0.669,0.502
6037500,1087.7958,0.167832168,100200,10020007,0.572,0.483,0.64,0.464,0.573,0.5,0.688,0.515
6036940,,0.336663337,100200,10020007,0.453,0.422,0.502,0.395,0.499,0.454,0.495,0.339
6038500,2343.94095,0.167832168,100200,10020007,0.078,-0.0115,0.115,-0.006,0.101,-0.008,0.191,-0.001
6038800,2758.33935,0.167832168,100200,10020007,0.397,0.257,0.344,0.214,0.363,0.261,0.405,0.266
6040800,5661.71814,0.235764236,100200,10020007,0.583,0.506,0.577,0.489,0.584,0.517,0.607,0.427
6041000,5661.71814,0.221778222,100200,10020007,0.567,0.482,0.514,0.339,0.595,0.498,0.591,0.462
6043500,2136.74175,0.160839161,100200,10020008,0.785,0.736,0.78,0.6885,0.778,0.733,0.746,0.647
